fips,stcd,district,pop2010
13,GA,105,91944
13,GA,106,50087
13,GA,107,90144
13,GA,108,68282
13,GA,109,78421
13,GA,110,80088
13,GA,111,62275
13,GA,112,57345
13,GA,113,56617
13,GA,114,53145
13,GA,115,50009
13,GA,116,49355
13,GA,117,64224
13,GA,118,60824
13,GA,119,46117
13,GA,120,49471
13,GA,121,39901
13,GA,122,45723
13,GA,123,49250
13,GA,124,45898
13,GA,125,54944
13,GA,126,48971
13,GA,127,50054
13,GA,128,46413
13,GA,129,53120
13,GA,130,50024
13,GA,131,54525
13,GA,132,42799
13,GA,133,39441
13,GA,134,47935
13,GA,135,48898
13,GA,136,56696
13,GA,137,49858
13,GA,138,43715
13,GA,139,41191
13,GA,140,46613
13,GA,141,46542
13,GA,142,45637
13,GA,143,48983
13,GA,144,51000
13,GA,145,43689
13,GA,146,67028
13,GA,147,54428
13,GA,148,41718
13,GA,149,43458
13,GA,150,45353
13,GA,151,45471
13,GA,152,47091
13,GA,153,46273
13,GA,154,51008
13,GA,155,47362
13,GA,156,51000
13,GA,157,49943
13,GA,158,57393
13,GA,159,88115
13,GA,160,46989
13,GA,161,41990
13,GA,162,43327
13,GA,163,48341
13,GA,164,53854
13,GA,165,49717
13,GA,166,46202
13,GA,167,61709
13,GA,168,50780
13,GA,169,51596
13,GA,170,51371
13,GA,171,45696
13,GA,172,45097
13,GA,173,48578
13,GA,174,48740
13,GA,175,51199
13,GA,176,56994
13,GA,177,48483
13,GA,178,53771
13,GA,179,46872
13,GA,180,54520
15,HI,001,23257
15,HI,002,23279
15,HI,003,23425
15,HI,004,33276
15,HI,005,27586
15,HI,006,26582
15,HI,007,27674
15,HI,008,27894
15,HI,009,27705
15,HI,010,24585
15,HI,011,24916
15,HI,012,24992
15,HI,013,24832
15,HI,014,22810
15,HI,015,23128
15,HI,016,21153
15,HI,017,24650
15,HI,018,22281
15,HI,019,22819
15,HI,020,22303
15,HI,021,25009
15,HI,022,25101
15,HI,023,27871
15,HI,024,24566
15,HI,025,24157
15,HI,026,23988
15,HI,027,22609
15,HI,028,28739
15,HI,029,24867
15,HI,030,23965
15,HI,031,24482
15,HI,032,45921
15,HI,033,23738
15,HI,034,26009
15,HI,035,26288
15,HI,036,22835
15,HI,037,23503
15,HI,038,34181
15,HI,039,26961
15,HI,040,39045
15,HI,041,27009
15,HI,042,26615
15,HI,043,43932
15,HI,044,26514
15,HI,045,25150
15,HI,046,42821
15,HI,047,26644
15,HI,048,23747
15,HI,049,22323
15,HI,050,30943
15,HI,051,21621
16,ID,001,40210
16,ID,002,35917
16,ID,003,45166
16,ID,004,44634
16,ID,005,46466
16,ID,006,37244
16,ID,007,39265
16,ID,008,38711
16,ID,009,38220
16,ID,010,48958
16,ID,011,51062
16,ID,012,45474
16,ID,013,58725
16,ID,014,76940
16,ID,015,40177
16,ID,016,36855
16,ID,017,37314
16,ID,018,39282
16,ID,019,40219
16,ID,020,50201
16,ID,021,71377
16,ID,022,34066
16,ID,023,45710
16,ID,024,43046
16,ID,025,43165
16,ID,026,42443
16,ID,027,38757
16,ID,028,41905
16,ID,029,44248
16,ID,030,38591
16,ID,031,45173
16,ID,032,56073
16,ID,033,38893
16,ID,034,49686
16,ID,035,43409
17,IL,001,101561
17,IL,002,91849
